,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,class
10,-191.0331,150.20503,44.2264,17.048681,7.2920003,-17.067333,-9.870895,-2.0427058,-10.256346,4.426902,-4.7198315,2.2343273,1.165003,2.7410107,3.6757305,-0.6131589,-2.499334,-3.2130191,-3.319052,2.9287388,3.5894394,3.2424567,-1.1449786,5.5189447,-4.2076383,-1.5532128,-5.5441494,-0.9401177,0.13524157,4.98555,0.034259997,-1.8376529,-4.6301494,-2.280503,-2.703287,-1.7909652,-1.6418598,4.2627783,2.0382657,0.76711917,3.01
11,-351.9438,223.62122,98.4812,-10.057343,-48.457443,-26.139116,8.709245,17.986448,0.9208094,-16.772156,-15.166434,0.79523724,11.203806,4.8698773,-10.332793,-18.048481,-11.574456,0.669223,5.932434,0.8654995,-6.5392857,-7.1404514,-0.74591357,4.9201007,3.5585213,-2.7652092,-6.6676354,-4.104932,1.4658577,3.5721958,0.107521445,-4.747084,-5.802251,-2.5035343,0.97657895,0.86432374,-2.1347163,-4.2518067,-3.2333653,-0.7043567,1.96
12,-143.6498,92.17089,-98.58456,-11.142042,-45.042034,-3.422193,-16.616533,0.45770618,-9.514145,-0.14490716,-4.121368,-5.7551107,-8.971482,-3.314294,-2.96193,4.3074656,-0.8850084,2.7750623,-1.782425,-2.567991,-6.2458367,-1.8188838,-5.546622,-4.0658813,-6.0167313,-1.5605946,-3.048928,1.2244732,-2.2192488,2.7203548,-1.5675465,1.3604509,-2.5331893,0.9293804,-1.784368,0.86196315,-2.248483,0.3145119,-2.5166612,0.94687515,4.84
13,-175.16779,153.51816,-19.483595,18.40801,-5.849435,1.1934272,-5.832212,-0.676244,-7.5278015,2.8348477,-6.482108,2.2333305,-6.8426547,-1.2561685,-6.7783666,-3.5313225,-9.580307,-3.5292928,-7.5727143,-5.491417,-8.391224,-4.1023088,-8.366044,-3.9558055,-8.662749,-2.273278,-6.924914,-5.454532,-6.013952,-1.550482,-5.8198876,-1.8520434,-4.719867,0.08836715,-4.803959,0.40990874,-3.7651453,0.9589696,-1.9159749,0.43634528,3.2
14,-485.2262,183.13025,110.5605,45.005913,3.516368,-15.89449,-20.240175,-17.717333,-12.714751,-6.5507393,-1.0074049,1.6319847,0.78938115,-1.7255752,-3.4642246,-3.4001193,-2.2076008,-1.0191863,-0.61426306,-1.2502762,-2.633259,-3.9842005,-4.4652386,-3.9528964,-3.3063784,-3.5607162,-4.649998,-5.385743,-4.8810277,-3.5506916,-2.5619485,-2.5284162,-3.0796158,-3.561598,-3.7087295,-3.5691972,-3.2354307,-2.919148,-2.85775,-2.893258,1.0
15,-315.99365,248.06775,-46.29625,7.727826,19.869383,-18.519152,17.254587,-1.9021605,-14.661517,10.76743,-4.716538,-3.1565065,8.209172,-6.3160067,-2.819738,-4.0390964,-11.199515,1.8021238,2.869626,-1.3907319,-2.1522536,-9.420764,-1.37959,5.4916215,-1.6596283,0.78675497,1.9371734,0.052282378,2.8103156,-3.3673985,-9.836546,-8.80111,-1.0197264,8.054715,-1.1240271,-6.4882894,3.525777,-5.2078543,-11.542791,1.7483934,3.48
16,-470.38492,163.02296,96.4646,20.01006,-35.482834,-53.33163,-37.483055,-7.314136,15.472842,19.155193,6.4803658,-10.212735,-18.595148,-14.0869875,-1.3308933,10.531441,14.541521,9.933263,1.4000634,-5.010059,-6.0048385,-2.4744773,2.1416628,4.7330246,4.421378,2.429211,0.50238174,-0.56608987,-1.2240727,-2.3047986,-3.9748635,-5.4452014,-5.6294703,-4.114305,-1.5752509,0.67231745,1.582659,1.0295811,-0.2555539,-1.3183581,1.92
17,-276.54803,182.74188,-41.65553,35.49702,-9.284504,-0.6716754,-5.303832,-2.9154065,5.8144155,3.711438,6.9453745,-6.412031,-13.175425,-10.900843,-8.04696,-8.36408,-6.249595,-5.066385,-0.5888978,-2.9326396,-5.268165,-0.897789,-2.0828767,-4.774147,-5.285274,-6.103038,-8.354796,-10.654544,-7.137142,5.382303,7.1398506,-6.349951,-7.2262354,-1.5743923,1.2837199,3.7732327,0.7155253,-3.7668438,-5.2135844,2.0971675,4.81
18,-319.95096,115.185074,-73.9715,-8.304204,10.603205,-5.9990687,11.241261,9.019704,7.184857,6.3093243,3.175464,4.784666,5.528641,13.831217,16.504814,11.569391,12.072092,8.163915,4.1441555,9.721988,6.1741915,-2.3625052,-5.348355,-7.216759,-2.41799,0.826962,-2.2822092,1.0898598,6.1437993,4.391934,1.5873784,2.0664568,3.428919,-1.2506382,-7.8389173,-6.5288124,-7.215247,-11.625539,-10.647661,-9.2883415,2.69
19,-265.82913,198.01419,-128.88718,-26.470694,29.694107,-62.160183,-18.534061,15.443561,-37.048336,-11.13046,9.735919,-26.842804,-4.6777725,12.221437,-20.078506,-7.671542,6.225054,-16.00033,-3.8634543,8.761724,-7.4489145,2.0425298,7.574922,-9.754782,-0.60081166,7.383249,-2.985591,6.8858056,5.8523083,-14.554503,-3.7663124,8.882029,-4.2524614,-2.5398462,3.855066,-4.7405634,-1.4411501,3.7243574,-1.7736912,3.0615697,4.72
20,-534.8779,179.72466,76.36478,-11.507045,-40.741783,-23.612055,-1.8107995,-1.2722261,-13.835776,-18.003502,-8.178894,1.5838884,-1.5966963,-13.144408,-18.188492,-10.854661,-0.8800163,-0.51930946,-9.361054,-15.695052,-11.427028,-1.5953137,2.4834487,-3.014103,-10.726202,-11.79811,-6.1882706,-1.4555591,-2.859804,-7.543583,-9.1580305,-6.02399,-2.4915395,-2.741246,-5.584262,-6.598285,-4.065588,-0.8318674,-0.21576917,-1.7783796,2.38
21,-362.82214,59.896107,-42.84837,-3.6951563,-16.982622,-14.552083,-25.46931,-8.36709,-25.701628,-3.4497125,-16.644945,-6.361495,-17.457027,-7.424626,-6.0687556,-12.287802,0.0034532847,4.7453675,3.9181707,12.826358,3.9842396,1.1696284,1.9329015,-0.37045282,-0.7865036,3.2554047,-3.1674988,-0.590012,1.6316165,-3.2658043,-4.801164,-3.1308117,-0.37182122,1.4830443,-0.5245753,0.38659975,2.336833,2.8706841,-2.9839017,-0.17346902,4.92
22,-12.610844,26.915697,13.909581,6.0673647,1.4732205,5.0018578,3.571086,9.652138,5.9384212,8.614408,4.2834215,6.859864,1.196397,4.4267726,1.2153772,4.309771,-1.2698727,2.3269193,-0.9672152,2.8595352,-0.65360695,2.9743447,-1.6849263,0.49326915,-4.00802,0.24443308,-3.4203255,0.13002935,-3.2325194,0.014122115,-4.582205,-1.5448818,-4.289741,-0.20864497,-3.7653534,-0.009268989,-3.4565077,-1.2230008,-4.8139143,-1.6891692,1.16
23,-518.30115,135.26079,-44.215916,23.724133,-12.291016,5.5599785,-22.077847,6.1211605,-11.776862,-3.8801296,-1.041606,6.0332394,-5.133398,4.500112,-2.6458123,-2.8997154,-3.6153934,-2.1097746,-7.690889,-1.7417922,-1.8728582,-4.228011,-5.1661816,-1.2120022,-0.9566158,-3.1772575,1.0272615,-1.9827449,1.1485375,-3.465035,-0.6942289,-5.317278,-0.17019066,-3.3677757,-0.65025437,-2.1865184,-1.2459778,-1.839499,0.029323738,-0.10919823,3.07
24,-104.14399,49.134842,-71.13097,-1.913015,-37.974155,-11.913237,-28.921772,1.5638659,-15.197376,1.6280951,-11.965493,-9.246676,-9.84583,2.6511664,-3.6772876,4.020316,-9.106413,3.0438995,-10.351126,-5.53957,-8.822756,3.0693355,-4.44191,2.601781,-3.2057889,5.4008923,-8.517665,1.6095871,-10.2803545,5.1299915,-0.3050837,1.3024228,-5.0647697,-1.1733347,-4.545116,-2.3888948,-4.0574446,-3.9955423,-1.5870717,-1.3383231,4.16
