,0,1,2,3,4,5,6,7,8,9,10,11,class
19,0.6313112,0.20035876,0.38381726,0.21257758,0.53465086,0.36536303,0.2414883,0.4563775,0.23739843,0.37696537,0.19242759,0.38179743,4.72
20,0.45384714,0.51169086,0.512978,0.6291696,0.58593416,0.42637527,0.38353103,0.37588507,0.35497406,0.3286014,0.34544122,0.38235512,2.38
21,0.33544984,0.3197231,0.34343007,0.3166614,0.46002832,0.46117562,0.41790318,0.5195812,0.37629884,0.24542385,0.284035,0.33885404,4.92
22,0.6506716,0.60936534,0.59619063,0.5885476,0.653408,0.64301884,0.72129756,0.76399237,0.65144324,0.7080142,0.72012,0.7681534,1.16
23,0.6451921,0.6505583,0.63340217,0.62185645,0.61089575,0.5410111,0.47235954,0.45251635,0.4533914,0.4949019,0.613763,0.67131263,3.07
24,0.37077984,0.40435874,0.5014734,0.3851077,0.35917935,0.4057821,0.41025117,0.38869086,0.44386593,0.7265121,0.6113574,0.4147736,4.16
25,0.4569726,0.32432556,0.42009783,0.644239,0.38806778,0.41544992,0.39806017,0.57053936,0.35628462,0.4077552,0.41905418,0.37037882,1.41
26,0.64201415,0.6182864,0.6260483,0.49542826,0.61564445,0.70029414,0.7698381,0.75366247,0.81263554,0.7675646,0.7320054,0.7501807,4.92
27,0.7701581,0.8435711,0.7794186,0.81512237,0.7353347,0.8044627,0.6659658,0.6420943,0.6845138,0.62445724,0.5829861,0.53627396,2.12
28,0.52774805,0.5123092,0.4485606,0.3778173,0.32253155,0.31102183,0.28528267,0.35275924,0.36772338,0.46070728,0.5174886,0.5774176,2.46
29,0.35936892,0.3264888,0.40974632,0.2956421,0.41829816,0.3423732,0.47572777,0.4564874,0.4227695,0.7240533,0.47121415,0.49528044,1.32
30,0.32109395,0.3016329,0.3706619,0.3279976,0.49939224,0.3413749,0.3476351,0.5359616,0.41530213,0.58687395,0.3604332,0.2950292,4.8
31,0.31769508,0.3174356,0.39056402,0.31725046,0.3519817,0.33514282,0.29402575,0.31142023,0.40231535,0.4363027,0.70672643,0.8613077,4.92
32,0.7523172,0.8216759,0.8033912,0.78124505,0.7865031,0.78687036,0.78256077,0.80207616,0.76301104,0.76880634,0.7732688,0.7669907,1.08
33,0.6522566,0.6685225,0.6759656,0.72031695,0.78598475,0.7202065,0.68681014,0.67411137,0.6007875,0.6066898,0.59753907,0.699608,1.84
34,0.68113613,0.7308323,0.79495364,0.8644995,0.6967317,0.75017136,0.63776934,0.7490569,0.62608635,0.6012963,0.6357829,0.6329716,2.81
35,0.5599739,0.4467371,0.36989152,0.4208367,0.48750293,0.5974656,0.55200654,0.55974394,0.45945865,0.53920966,0.4339777,0.4800639,3.42
36,0.712502,0.7950943,0.86018014,0.8045735,0.7238529,0.8100993,0.72018945,0.8453883,0.66606444,0.6244511,0.65295964,0.6715526,1.28
37,0.47878325,0.16137704,0.19347346,0.6503653,0.20719215,0.29973552,0.1569063,0.5188991,0.16438456,0.21641397,0.33451945,0.16793227,4.32
38,0.6410395,0.4547587,0.48079303,0.5777026,0.56661093,0.6839957,0.7185998,0.62883866,0.3905849,0.36672935,0.4249685,0.4165492,2.19
39,0.8015693,0.82176566,0.7913184,0.80525625,0.8033667,0.78114295,0.79937595,0.76799726,0.79475194,0.7732867,0.8153287,0.80107105,1.0
40,0.2871015,0.32999974,0.33702973,0.34660017,0.3176721,0.53973943,0.54139066,0.5018656,0.40565127,0.27177772,0.25807357,0.23950984,5.0
41,0.5163679,0.22733246,0.44564486,0.2565123,0.414634,0.39151403,0.29237047,0.5350591,0.2559775,0.38242802,0.30678707,0.55580693,2.96
42,0.6918255,0.49023575,0.58720475,0.7689549,0.49963197,0.5358593,0.46865413,0.4409838,0.4145938,0.47199616,0.61976904,0.5984882,1.8
43,0.6264315,0.540543,0.54868543,0.5220367,0.51984334,0.4956266,0.503067,0.53327256,0.5517935,0.5856324,0.5149135,0.5080473,4.76
44,0.67155784,0.41703,0.44783226,0.38810185,0.523273,0.5920715,0.3860511,0.47467458,0.43823883,0.5811548,0.61320865,0.52606815,1.02
45,0.35696715,0.49291644,0.5354426,0.5620976,0.5821975,0.515054,0.6197286,0.48876458,0.44664827,0.34861046,0.35384083,0.35282412,1.46
46,0.5016383,0.5089262,0.41747257,0.40474153,0.41347268,0.39745656,0.37333137,0.39536095,0.4480082,0.5012985,0.6106002,0.7348349,4.82
47,0.8146091,0.8278531,0.8083705,0.8201463,0.79336506,0.7867877,0.79742956,0.7824392,0.76372397,0.7670715,0.7881217,0.7687592,1.12
48,0.56742144,0.58675534,0.48199782,0.53443056,0.4926167,0.50287235,0.61414385,0.4868891,0.52470046,0.47305292,0.587045,0.6038903,2.2
49,0.57869226,0.49367258,0.41044965,0.38631168,0.3795353,0.35191748,0.3791766,0.34959394,0.3692536,0.47982588,0.48410612,0.55722165,3.69
